Exit,City,Street,Timestamp,Vehicles Count,Traffic State,Gate State
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:13,20,Heavy,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:13,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:14,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:14,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:15,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:15,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:16,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:16,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:17,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:17,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:18,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:18,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:19,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:19,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:20,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:20,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:21,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:22,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:22,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:23,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:23,19,Medium,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:24,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:24,20,Heavy,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:25,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:25,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:26,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:27,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:27,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:28,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:28,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:29,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:29,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:30,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:30,21,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:31,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:31,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:32,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:32,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:33,23,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:33,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:34,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:34,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:34,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:35,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:36,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:36,22,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:37,23,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:58:37,23,Heavy,Closed
